Crisis,Strategy,Start,End,Days,Total log ret,Ann Sharpe,Max DD
GFC_2008,PureMarket_WHMM,2008-01-01,2009-06-30,391,0.06126798485481481,0.40297194095911393,-0.08633563271863454
GFC_2008,Hierarchical_WHMM,2008-01-01,2009-06-30,391,-0.07535300657108947,-0.5835631826198522,-0.13993947369868565
GFC_2008,EqualWeight,2008-01-01,2009-06-30,391,-0.10294937101435019,-0.4430916585029745,-0.28537848767839336
GFC_2008,SixtyForty,2008-01-01,2009-06-30,391,-0.23958391587340927,-0.7085233413428993,-0.3540944367574336
Euro_2011,PureMarket_WHMM,2011-06-01,2012-06-30,283,-0.03654941074673045,-0.3660408316028383,-0.12768715093833805
Euro_2011,Hierarchical_WHMM,2011-06-01,2012-06-30,283,0.015295047270635085,0.1725130543196039,-0.06738842997306993
Euro_2011,EqualWeight,2011-06-01,2012-06-30,283,0.011502160782148451,0.11978884889555744,-0.08450501758377749
Euro_2011,SixtyForty,2011-06-01,2012-06-30,283,0.06908857537327526,0.5287390607686998,-0.0858658158341018
Taper_2013,PureMarket_WHMM,2013-04-01,2013-12-31,197,-0.0776444225551694,-1.2322573144112623,-0.08703284733902539
Taper_2013,Hierarchical_WHMM,2013-04-01,2013-12-31,197,-0.08682133877473375,-1.4455975015265727,-0.08926145174782818
Taper_2013,EqualWeight,2013-04-01,2013-12-31,197,-0.03731667600329161,-0.6361059594736377,-0.07028616634626861
Taper_2013,SixtyForty,2013-04-01,2013-12-31,197,0.06750821435134498,1.213094748628156,-0.05554342715406224
China_2015,PureMarket_WHMM,2015-06-01,2016-02-29,196,-0.0017854406031647023,-0.03217813646332165,-0.0742688392694516
China_2015,Hierarchical_WHMM,2015-06-01,2016-02-29,196,0.005770589303362914,0.1531665354810608,-0.03927180178321554
China_2015,EqualWeight,2015-06-01,2016-02-29,196,-0.10622579959738107,-1.2553493198458907,-0.18500539767754587
China_2015,SixtyForty,2015-06-01,2016-02-29,196,-0.03298429553815385,-0.4337105918168602,-0.06667387755471998
Q4_2018,PureMarket_WHMM,2018-09-01,2019-01-31,109,-0.011155240413988372,-0.4744945323294193,-0.06652546230085332
Q4_2018,Hierarchical_WHMM,2018-09-01,2019-01-31,109,0.0118849180343872,0.6445006858802966,-0.03412296595832531
Q4_2018,EqualWeight,2018-09-01,2019-01-31,109,-0.029230807249176385,-0.8036555578546197,-0.11610004252381478
Q4_2018,SixtyForty,2018-09-01,2019-01-31,109,-0.028622703981345584,-0.5818915219370243,-0.11446318416738455
Covid_2020,PureMarket_WHMM,2020-02-01,2020-06-30,107,-0.007217505830115858,-0.1816477489772626,-0.07304286513999403
Covid_2020,Hierarchical_WHMM,2020-02-01,2020-06-30,107,0.04926605665049634,1.0727615620807893,-0.08855864787899537
Covid_2020,EqualWeight,2020-02-01,2020-06-30,107,-0.03047228013962578,-0.18260234593282754,-0.33728545335343596
Covid_2020,SixtyForty,2020-02-01,2020-06-30,107,0.016161247784886965,0.13663017963336146,-0.20158963906791494
Rates_2022,PureMarket_WHMM,2022-01-01,2022-12-31,260,-0.08964213366025128,-1.2585799337386485,-0.0993661574485597
Rates_2022,Hierarchical_WHMM,2022-01-01,2022-12-31,260,-0.16462155862080333,-1.8660423389029315,-0.17462734101673505
Rates_2022,EqualWeight,2022-01-01,2022-12-31,260,-0.05231897278051643,-0.4097053187694634,-0.16601811461109806
Rates_2022,SixtyForty,2022-01-01,2022-12-31,260,-0.20422618007839902,-1.2772562006549089,-0.23037271178720298
Liberation_2025,PureMarket_WHMM,2025-01-01,2025-09-30,195,0.08704998654197973,1.4848392158575774,-0.06574789322295593
Liberation_2025,Hierarchical_WHMM,2025-01-01,2025-09-30,195,0.06833951140971453,1.0823539850824007,-0.08482659827732353
Liberation_2025,EqualWeight,2025-01-01,2025-09-30,195,0.0825227769192976,1.1537909191116202,-0.07184646057728306
Liberation_2025,SixtyForty,2025-01-01,2025-09-30,195,0.10407918616143307,1.1183292738672617,-0.11043680376481879
