year,ret,n
1977,0.034640704142376785,12
1978,-0.04147331470841714,12
1979,-0.040132299773602276,12
1980,0.29694512729475,12
1981,0.10950042004299877,12
1982,0.1614602776332424,12
1983,0.23274189546982027,12
1984,-0.013105041702389113,12
1985,0.2659290127150048,12
1986,0.15206112666396615,12
1987,0.027442127139832892,12
1988,-0.018707959802731707,12
1989,-0.0836524534805244,12
1990,-0.03975008254263733,12
1991,0.3613372465927654,12
1992,0.12661858943047694,12
1993,0.017308512550883483,12
1994,0.017540129816666694,12
1995,-0.08354091131868623,12
1996,0.1662286896484808,12
1997,0.15780384642792,12
1998,-0.02552953331851717,12
1999,0.11152656596082826,12
2000,0.47605695520148983,12
2001,-0.1295262716383553,12
2002,0.03293817848674199,12
2003,0.08683698351938651,12
2004,0.22252649233908448,12
2005,0.02685128403786324,12
2006,0.03226501872997005,12
2007,0.1385965305986358,12
2008,-0.3102872050616986,12
2009,0.12593810736951988,12
2010,-0.017383936676391015,12
2011,0.03551221694016793,12
2012,0.13328483241422906,12
2013,0.4327595059792849,12
2014,0.2753642009660184,12
2015,0.04000413775022231,12
2016,0.16231367679809156,12
2017,-0.04417307903681605,12
2018,0.025159087717725837,12
2019,0.10369653207314133,12
2020,-0.01649466146135747,12
2021,-0.14321518416722026,12
2022,-0.1451584020799794,12
2023,0.07030671486692482,12
2024,0.1293337752534971,12
2025,-0.10439467043429329,12
